coin,name,networkList
LOOKS,LooksRare,"[{'coin': 'LOOKS', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 64, 'name': 'LooksRare', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '73', 'withdrawIntegerMultiple': None, 'withdrawMax': '1300000', 'withdrawMin': '186', 'sameAddress': False, 'contract': '0xf4d2888d29d722226fafa5d9b24f9164c092421e', 'withdrawTips': None, 'depositTips': None}]"
FXS,FraxShare,"[{'coin': 'FXS', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 64, 'name': 'FraxShare', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '5.82', 'withdrawIntegerMultiple': None, 'withdrawMax': '52000', 'withdrawMin': '6.156', 'sameAddress': False, 'contract': '0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0', 'withdrawTips': None, 'depositTips': None}]"
TFIOLD,TomoFinance,"[{'coin': 'TFIOLD', 'depositDesc': 'Deposit suspended due to wallet maintenance', 'depositEnable': False, 'minConfirm': 60, 'name': 'TomoFinance', 'network': 'TOMO', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '2000000', 'withdrawMin': '20', 'sameAddress': False, 'contract': '0xaf95193df0e67b3f49c2820d0d86f5e6b8e1770f', 'withdrawTips': None, 'depositTips': None}]"
BRISE,Bitrise,"[{'coin': 'BRISE', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 12, 'name': 'Bitrise', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': True, 'withdrawFee': '6167433', 'withdrawIntegerMultiple': None, 'withdrawMax': '620000000000', 'withdrawMin': '8173327.2', 'sameAddress': False, 'contract': '0x8fff93e810a2edaafc326edee51071da9d398e83', 'withdrawTips': 'Please note that there will be an additional 12% fee for each transfer of BRISE to the official smart contract.', 'depositTips': 'Please note that BRISE will charge a 24% fee for each deposit (including 12% for transfer to official smart contracts and 12% for funds pooling on the platform).'}]"
SHFT,Shyft Network,"[{'coin': 'SHFT', 'depositDesc': 'Deposit suspended due to wallet maintenance', 'depositEnable': False, 'minConfirm': 64, 'name': 'Shyft Network', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '23000000', 'withdrawMin': '1', 'sameAddress': False, 'contract': '0xb17C88bDA07D28B3838E0c1dE6a30eAfBCF52D85', 'withdrawTips': None, 'depositTips': None}]"
FXY,FLOXYPAY,"[{'coin': 'FXY', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 300, 'name': 'FLOXYPAY', 'network': 'Polygon(MATIC)', 'withdrawEnable': True, 'withdrawFee': '100', 'withdrawIntegerMultiple': None, 'withdrawMax': '20000000', 'withdrawMin': '200', 'sameAddress': False, 'contract': '0x4Ec465D5DB20A01Bc8404dc84f33bb7A398B8335', 'withdrawTips': None, 'depositTips': None}]"
OJA,Ojamu,"[{'coin': 'OJA', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 64, 'name': 'Ojamu', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '225', 'withdrawIntegerMultiple': None, 'withdrawMax': '80000000', 'withdrawMin': '1003.2', 'sameAddress': False, 'contract': '0x0aA7eFE4945Db24d95cA6E117BBa65Ed326e291A', 'withdrawTips': None, 'depositTips': None}]"
LEVIATANBONK,Leviatanbonk,"[{'coin': 'LEVIATANBONK', 'depositDesc': 'Deposit suspended due to wallet maintenance', 'depositEnable': False, 'minConfirm': 12, 'name': 'Leviatanbonk', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': False, 'withdrawFee': '27000', 'withdrawIntegerMultiple': None, 'withdrawMax': '54000000000', 'withdrawMin': '40000', 'sameAddress': False, 'contract': '0xD8D65F7115FBd11FfddC95C96c9CE38CE80848dB', 'withdrawTips': None, 'depositTips': None}]"
WZM,WooZooMusic,"[{'coin': 'WZM', 'depositDesc': 'Deposit suspended due to wallet maintenance', 'depositEnable': False, 'minConfirm': 64, 'name': 'WooZooMusic', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '930000', 'withdrawMin': '1', 'sameAddress': False, 'contract': '0xD15A1A2A3211b58113e45809f05934252E34e2F8', 'withdrawTips': None, 'depositTips': None}]"
SPWN,Bitspawn,"[{'coin': 'SPWN', 'depositDesc': 'Deposit suspended due to wallet maintenance', 'depositEnable': False, 'minConfirm': 64, 'name': 'Bitspawn', 'network': 'Ethereum(ERC20)', 'withdrawEnable': False, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '560000000', 'withdrawMin': '1', 'sameAddress': False, 'contract': '0xe516D78d784C77D479977BE58905B3f2b1111126', 'withdrawTips': None, 'depositTips': None}, {'coin': 'SPWN', 'depositDesc': 'Deposit suspended due to wallet maintenance', 'depositEnable': False, 'minConfirm': 100, 'name': 'Bitspawn', 'network': 'Solana(SOL)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '560000000', 'withdrawMin': '1', 'sameAddress': False, 'contract': '5U9QqCPhqXAJcEv9uyzFJd5zhN93vuPk1aNNkXnUfPnt', 'withdrawTips': 'The withdrawal address must be the owner’s address or an activated secondary address. Otherwise, you will lose your funds.\r\nsol network is unstable，withdrawal may be failed.', 'depositTips': 'The delay in the SOL chain scanning may lead to a delay in your deposit.'}]"
MENGOOLD,MENGO,"[{'coin': 'MENGOOLD', 'depositDesc': 'Deposit suspended due to wallet maintenance', 'depositEnable': False, 'minConfirm': 20, 'name': 'MENGO', 'network': 'Chiliz Legacy Chain(CHZ)', 'withdrawEnable': False, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '400000', 'withdrawMin': '52520', 'sameAddress': False, 'contract': '0x3E2D6FA11FD5a8A360c121a1e9bb3BDf72d8b502', 'withdrawTips': None, 'depositTips': None}]"
HALLOWEEN,Halloween,"[{'coin': 'HALLOWEEN', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 64, 'name': 'Halloween', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '71894229278', 'withdrawIntegerMultiple': None, 'withdrawMax': '100000000000000', 'withdrawMin': '82346976004.8', 'sameAddress': False, 'contract': '0xBb47107F54E7C84794b49df9315cF79A731894B0', 'withdrawTips': None, 'depositTips': None}]"
FYN,Affyn,"[{'coin': 'FYN', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 500, 'name': 'Affyn', 'network': 'Polygon(MATIC)', 'withdrawEnable': True, 'withdrawFee': '20', 'withdrawIntegerMultiple': None, 'withdrawMax': '3300000', 'withdrawMin': '40', 'sameAddress': False, 'contract': '0x3B56a704C01D650147ADE2b8cEE594066b3F9421', 'withdrawTips': None, 'depositTips': None}]"
CHANGE,ChangeX,"[{'coin': 'CHANGE', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 30, 'name': 'ChangeX', 'network': 'HYDRA', 'withdrawEnable': True, 'withdrawFee': '190', 'withdrawIntegerMultiple': None, 'withdrawMax': '16000000', 'withdrawMin': '380', 'sameAddress': False, 'contract': 'bd3c617d271b3467bd9b83dda73c9288de2fb0c9', 'withdrawTips': None, 'depositTips': None}]"
ADOGE,AmazingDoge,"[{'coin': 'ADOGE', 'depositDesc': None, 'depositEnable': False, 'minConfirm': 12, 'name': 'AmazingDoge', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '250000000000', 'withdrawMin': '1', 'sameAddress': False, 'contract': '0x0EBc30459551858e81306d583025d12C7d795FA2', 'withdrawTips': None, 'depositTips': None}]"
HANDY,Handy,"[{'coin': 'HANDY', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 64, 'name': 'Handy', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '2690', 'withdrawIntegerMultiple': None, 'withdrawMax': '4200000', 'withdrawMin': '8443.2', 'sameAddress': False, 'contract': '0x8bbe1a2961B41340468D0548c2cd5B7DFA9b684c', 'withdrawTips': None, 'depositTips': None}]"
THALES,THALES,"[{'coin': 'THALES', 'depositDesc': None, 'depositEnable': False, 'minConfirm': 64, 'name': 'Thales', 'network': 'Ethereum(ERC20)', 'withdrawEnable': False, 'withdrawFee': '21', 'withdrawIntegerMultiple': None, 'withdrawMax': '500000', 'withdrawMin': '20', 'sameAddress': False, 'contract': '0x8947da500Eb47F82df21143D0C01A29862a8C3c5', 'withdrawTips': None, 'depositTips': None}, {'coin': 'THALES', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 50, 'name': 'THALES', 'network': 'Optimism(OP)', 'withdrawEnable': True, 'withdrawFee': '2', 'withdrawIntegerMultiple': None, 'withdrawMax': '500000', 'withdrawMin': '20', 'sameAddress': False, 'contract': '0x217D47011b23BB961eB6D93cA9945B7501a5BB11', 'withdrawTips': None, 'depositTips': None}]"
SASHIMI,SashimiSwap,"[{'coin': 'SASHIMI', 'depositDesc': 'Deposit suspended due to wallet maintenance', 'depositEnable': False, 'minConfirm': 64, 'name': 'SashimiSwap', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '300000', 'withdrawMin': '20', 'sameAddress': False, 'contract': '0xC28E27870558cF22ADD83540d2126da2e4b464c2', 'withdrawTips': None, 'depositTips': None}]"
WHALE,WHALE,"[{'coin': 'WHALE', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 50, 'name': 'WHALE', 'network': 'WHALE', 'withdrawEnable': True, 'withdrawFee': '2', 'withdrawIntegerMultiple': None, 'withdrawMax': '270000', 'withdrawMin': '10', 'sameAddress': True, 'contract': '', 'withdrawTips': None, 'depositTips': None}]"
MSHEESHA,Sheesha Finance,"[{'coin': 'MSHEESHA', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 300, 'name': 'Sheesha Finance', 'network': 'Polygon(MATIC)', 'withdrawEnable': True, 'withdrawFee': '666.666666', 'withdrawIntegerMultiple': None, 'withdrawMax': '133333333.333333', 'withdrawMin': '1333.333332', 'sameAddress': False, 'contract': '0x88C949b4eB85a90071f2C0beF861BDDEe1a7479D', 'withdrawTips': None, 'depositTips': None}]"
OKA,Okaleido,"[{'coin': 'OKA', 'depositDesc': 'Deposit suspended due to wallet maintenance', 'depositEnable': False, 'minConfirm': 12, 'name': 'Okaleido', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '12000000', 'withdrawMin': '1', 'sameAddress': False, 'contract': '0x1f3A0425f0d50F1c277B617374Ed6c2e95A4ca84', 'withdrawTips': ""The last digits of the token's contract address are ca84, please make sure they're correct before taking action."", 'depositTips': ""The last digits of the token's contract address are ca84, please make sure they're correct before taking action.""}]"
ACSI,ACryptoSI,"[{'coin': 'ACSI', 'depositDesc': None, 'depositEnable': False, 'minConfirm': 12, 'name': 'ACryptoSI', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '5000', 'withdrawMin': '0.002', 'sameAddress': False, 'contract': '0x5b17b4d5e4009b5c43e3e3d63a5229f794cba389', 'withdrawTips': None, 'depositTips': None}]"
OKB,OKB,"[{'coin': 'OKB', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 64, 'name': 'OKB', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '0.4156', 'withdrawIntegerMultiple': None, 'withdrawMax': '45000', 'withdrawMin': '1', 'sameAddress': False, 'contract': '0x75231f58b43240c9718dd58b4967c5114342a86c', 'withdrawTips': None, 'depositTips': None}, {'coin': 'OKB', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 35, 'name': 'OKB', 'network': 'OKT', 'withdrawEnable': False, 'withdrawFee': '0.03', 'withdrawIntegerMultiple': None, 'withdrawMax': '10000', 'withdrawMin': '1', 'sameAddress': False, 'contract': '0xdf54b6c6195ea4d948d03bfd818d365cf175cfc2', 'withdrawTips': None, 'depositTips': None}]"
ZUKI,Zuki Moba,"[{'coin': 'ZUKI', 'depositDesc': None, 'depositEnable': False, 'minConfirm': 12, 'name': 'Zuki Moba', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '41000000', 'withdrawMin': '32', 'sameAddress': False, 'contract': '0xe81257d932280ae440b17afc5f07c8a110d21432', 'withdrawTips': 'There will be an additional 1% fee for each transfer of ZUKI to the official smart futures, please confirm before proceeding.', 'depositTips': 'ZUKI will charge a 2% administrative fee for each top-up (including the official smart contract transfer fee of 1% and the platform collection administrative fee of 1%). Please confirm before depositing.'}]"
ATTN,ATTN Token,"[{'coin': 'ATTN', 'depositDesc': 'The wallet is under maintenance, deposit has been suspended.\r\n', 'depositEnable': False, 'minConfirm': 64, 'name': 'ATTN Token', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '2200000000', 'withdrawMin': '10000', 'sameAddress': False, 'contract': '0xdF3A0a958F5a599Aa8f3071AA6488C22416EFB89', 'withdrawTips': None, 'depositTips': None}]"
OKS,Oikos,"[{'coin': 'OKS', 'depositDesc': None, 'depositEnable': False, 'minConfirm': 20, 'name': 'Oikos', 'network': 'Tron(TRC20)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '2000000', 'withdrawMin': '20', 'sameAddress': False, 'contract': 'TWVVcRqRmpyAi9dASvTXrqnS7FrwvDezMn', 'withdrawTips': None, 'depositTips': None}]"
BITMAT,BIT MATRIX BRAWL,"[{'coin': 'BITMAT', 'depositDesc': 'Deposit suspended due to wallet maintenance', 'depositEnable': False, 'minConfirm': 12, 'name': 'BIT MATRIX BRAWL', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': True, 'withdrawFee': '360', 'withdrawIntegerMultiple': None, 'withdrawMax': '140000000', 'withdrawMin': '600', 'sameAddress': False, 'contract': '0x5D8B5597fFcC4a5A3b3BF48b50CEe0eDf01E2B3E', 'withdrawTips': None, 'depositTips': None}]"
OKT,OKExChain,"[{'coin': 'OKT', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 35, 'name': 'OKExChain', 'network': 'OKT', 'withdrawEnable': True, 'withdrawFee': '0.1', 'withdrawIntegerMultiple': None, 'withdrawMax': '15000', 'withdrawMin': '0.4', 'sameAddress': False, 'contract': '', 'withdrawTips': None, 'depositTips': None}]"
LUFFYOLD2,Luffy,"[{'coin': 'LUFFYOLD2', 'depositDesc': None, 'depositEnable': False, 'minConfirm': 64, 'name': 'Luffy', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '1', 'withdrawIntegerMultiple': None, 'withdrawMax': '20000000000000', 'withdrawMin': '2', 'sameAddress': False, 'contract': '0xC1bfcCd4c29813eDe019D00D2179Eea838a67703', 'withdrawTips': None, 'depositTips': None}]"
PICKLE,Pickle Finance,"[{'coin': 'PICKLE', 'depositDesc': 'Deposit suspended due to wallet maintenance', 'depositEnable': False, 'minConfirm': 64, 'name': 'Pickle Finance', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '300000', 'withdrawMin': '1', 'sameAddress': False, 'contract': '0x429881672b9ae42b8eba0e26cd9c73711b891ca5', 'withdrawTips': None, 'depositTips': None}]"
IDHUB,Identity Hub,"[{'coin': 'IDHUB', 'depositDesc': None, 'depositEnable': False, 'minConfirm': 64, 'name': 'Identity Hub', 'network': 'Ethereum(ERC20)', 'withdrawEnable': False, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '1000000', 'withdrawMin': '100', 'sameAddress': False, 'contract': '0x29f20242051accda50d52a7e272a5f23237e4696', 'withdrawTips': None, 'depositTips': None}]"
ALEX,ALEX Lab,"[{'coin': 'ALEX', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 8, 'name': 'ALEX Lab', 'network': 'STACKS', 'withdrawEnable': True, 'withdrawFee': '5', 'withdrawIntegerMultiple': None, 'withdrawMax': '2000000', 'withdrawMin': '10', 'sameAddress': True, 'contract': 'SP3K8BC0PPEVCV7NZ6QSRWPQ2JE9E5B6N3PA0KBR9.age000-governance-token::alex', 'withdrawTips': None, 'depositTips': None}]"
FAKTOLD,Medifakt,"[{'coin': 'FAKTOLD', 'depositDesc': 'Deposit suspended due to wallet maintenance', 'depositEnable': False, 'minConfirm': 64, 'name': 'Medifakt', 'network': 'Ethereum(ERC20)', 'withdrawEnable': False, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '11338150', 'withdrawMin': '11338140', 'sameAddress': False, 'contract': '0xC3FFbE26E9446aC52008FfC8C1191d60A12bdC48', 'withdrawTips': None, 'depositTips': None}]"
NIZA,Niza Global,"[{'coin': 'NIZA', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 64, 'name': 'Niza Global', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '835', 'withdrawIntegerMultiple': None, 'withdrawMax': '20000000', 'withdrawMin': '1872', 'sameAddress': False, 'contract': '0xb58E26ac9cc14c0422C2b419b0CA555Ee4DcB7CB', 'withdrawTips': None, 'depositTips': None}]"
SHIB,SHIB-SOL,"[{'coin': 'SHIB', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 64, 'name': 'SHIBAINU', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '1203298', 'withdrawIntegerMultiple': None, 'withdrawMax': '20000000000', 'withdrawMin': '3000000', 'sameAddress': False, 'contract': '0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce', 'withdrawTips': 'Due to the mechanism of the smart futures, the withdrawal amount must be a multiple of 1. Otherwise, your withdrawal will not be submitted successfully.', 'depositTips': None}, {'coin': 'SHIB', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 12, 'name': 'SHIB-BSC', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': True, 'withdrawFee': '39639', 'withdrawIntegerMultiple': None, 'withdrawMax': '42000000000', 'withdrawMin': '46000', 'sameAddress': False, 'contract': '0x2859e4544C4bB03966803b044A93563Bd2D0DD4D', 'withdrawTips': None, 'depositTips': None}, {'coin': 'SHIB', 'depositDesc': None, 'depositEnable': False, 'minConfirm': 100, 'name': 'SHIB-SOL', 'network': 'SOL', 'withdrawEnable': False, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '90000000', 'withdrawMin': '0', 'sameAddress': False, 'contract': 'CiKu4eHsVrc1eueVQeHn7qhXTcVu95gSQmBpX4utjL9z', 'withdrawTips': None, 'depositTips': 'Due to block scanning delay on SOL, deposits may be slightly delayed.'}]"
OLE,OpenLeverage,"[{'coin': 'OLE', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 12, 'name': 'OpenLeverage', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': True, 'withdrawFee': '14', 'withdrawIntegerMultiple': None, 'withdrawMax': '20000000', 'withdrawMin': '16.8', 'sameAddress': False, 'contract': '0xB7E2713CF55cf4b469B5a8421Ae6Fc0ED18F1467', 'withdrawTips': ""The last digits of the token's contract address are 1467, please make sure they're correct before taking action."", 'depositTips': ""The last digits of the token's contract address are 1467, please make sure they're correct before taking action.""}, {'coin': 'OLE', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 64, 'name': 'OpenLeverage', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '200', 'withdrawIntegerMultiple': None, 'withdrawMax': '20000000', 'withdrawMin': '500', 'sameAddress': False, 'contract': '0x1B6e9c73beE68102d9dd4A2627f97bFf4183ab0A', 'withdrawTips': ""The last digits of the token's contract address are ab0a, please make sure they're correct before taking action."", 'depositTips': ""The last digits of the token's contract address are ab0a, please make sure they're correct before taking action.""}]"
SHIA,Shiba Saga,"[{'coin': 'SHIA', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 64, 'name': 'Shiba Saga', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '217', 'withdrawIntegerMultiple': None, 'withdrawMax': '500000', 'withdrawMin': '414', 'sameAddress': False, 'contract': '0x43D7E65B8fF49698D9550a7F315c87E67344FB59', 'withdrawTips': None, 'depositTips': None}]"
GORILLA,Gorilla,"[{'coin': 'GORILLA', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 64, 'name': 'Gorilla', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '2101', 'withdrawIntegerMultiple': None, 'withdrawMax': '12500000', 'withdrawMin': '4700.4', 'sameAddress': False, 'contract': '0x33C04Bed4533e31f2Afb8AC4a61A48Eda38C4fA0', 'withdrawTips': 'Please note that there will be an additional  0.5% fee for each transfer of GORILLA to the official smart contract.', 'depositTips': 'Please note that GORILLA will charge a 1% fee for each deposit (including 0.5% for transfer to official smart contracts and 0.5% for funds pooling on the platform).'}]"
OM3,Oracle Mesh,"[{'coin': 'OM3', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 12, 'name': 'Oracle Mesh', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': True, 'withdrawFee': '192', 'withdrawIntegerMultiple': None, 'withdrawMax': '2500000', 'withdrawMin': '230.4', 'sameAddress': False, 'contract': '0xcc27f82C1C5985097A843117CBE8a4301eeC7097', 'withdrawTips': None, 'depositTips': None}]"
OLV,Olive,"[{'coin': 'OLV', 'depositDesc': None, 'depositEnable': False, 'minConfirm': 100, 'name': 'Olive', 'network': 'Klaytn(KLAY)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '2400000', 'withdrawMin': '1', 'sameAddress': False, 'contract': '0x2350caf0eead5677e85b5282fa68d8d42fa381bf', 'withdrawTips': None, 'depositTips': None}]"
PPAY,Plasmapay,"[{'coin': 'PPAY', 'depositDesc': None, 'depositEnable': False, 'minConfirm': 64, 'name': 'Plasmapay', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '100000000', 'withdrawMin': '30', 'sameAddress': False, 'contract': '0x054D64b73d3D8A21Af3D764eFd76bCaA774f3Bb2', 'withdrawTips': None, 'depositTips': None}]"
SONNE,Sonne Finance,"[{'coin': 'SONNE', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 50, 'name': 'Sonne Finance', 'network': 'Optimism(OP)', 'withdrawEnable': True, 'withdrawFee': '1', 'withdrawIntegerMultiple': None, 'withdrawMax': '680000', 'withdrawMin': '2', 'sameAddress': False, 'contract': '0x1DB2466d9F5e10D7090E7152B68d62703a2245F0', 'withdrawTips': None, 'depositTips': None}]"
OMC,omChain,"[{'coin': 'OMC', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 12, 'name': 'omChain', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': True, 'withdrawFee': '112', 'withdrawIntegerMultiple': None, 'withdrawMax': '40000000', 'withdrawMin': '120', 'sameAddress': False, 'contract': '0x1f926B439FAe4595E5951029D47616FeCa401B77', 'withdrawTips': None, 'depositTips': None}]"
OME,O-MEE,"[{'coin': 'OME', 'depositDesc': None, 'depositEnable': False, 'minConfirm': 300, 'name': 'O-MEE', 'network': 'Polygon(MATIC)', 'withdrawEnable': False, 'withdrawFee': '100', 'withdrawIntegerMultiple': None, 'withdrawMax': '20000000', 'withdrawMin': '200', 'sameAddress': False, 'contract': '0x8E0232183fDa2932A04601EadDAF90191e2bdfcd', 'withdrawTips': None, 'depositTips': None}]"
CAKE,PancakeSwap,"[{'coin': 'CAKE', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 20, 'name': 'PancakeSwap', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': True, 'withdrawFee': '0.13', 'withdrawIntegerMultiple': None, 'withdrawMax': '350000', 'withdrawMin': '0.156', 'sameAddress': False, 'contract': '0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82', 'withdrawTips': None, 'depositTips': None}]"
OMG,OmiseGo,"[{'coin': 'OMG', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 64, 'name': 'OmiseGo', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '7', 'withdrawIntegerMultiple': None, 'withdrawMax': '230000', 'withdrawMin': '19.2', 'sameAddress': False, 'contract': '0xd26114cd6EE289AccF82350c8d8487fedB8A0C07', 'withdrawTips': None, 'depositTips': None}]"
KIAN,Porta,"[{'coin': 'KIAN', 'depositDesc': None, 'depositEnable': False, 'minConfirm': 12, 'name': 'Porta', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '8000000', 'withdrawMin': '6', 'sameAddress': False, 'contract': '0x5ECE3F1542C4e1a06767457e4D8286beA772fc41', 'withdrawTips': None, 'depositTips': None}]"
DUNE,Alpha Dune,"[{'coin': 'DUNE', 'depositDesc': 'Deposit suspended due to wallet maintenance', 'depositEnable': False, 'minConfirm': 64, 'name': 'Alpha Dune', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '200000', 'withdrawMin': '1', 'sameAddress': False, 'contract': '0x1Ad8fBB69edf3183Ff055aCF4ffCfE25560Fe323', 'withdrawTips': None, 'depositTips': None}]"
BOIN,CoinBoin,"[{'coin': 'BOIN', 'depositDesc': None, 'depositEnable': False, 'minConfirm': 64, 'name': 'CoinBoin', 'network': 'Ethereum(ERC20)', 'withdrawEnable': False, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '500000', 'withdrawMin': '25', 'sameAddress': False, 'contract': '0xff132EB4fc3e214142721d84CFa10Ad74b66f098', 'withdrawTips': None, 'depositTips': None}]"
OML,Omlira,"[{'coin': 'OML', 'depositDesc': None, 'depositEnable': False, 'minConfirm': 12, 'name': 'Omlira', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': False, 'withdrawFee': '75', 'withdrawIntegerMultiple': None, 'withdrawMax': '57000000', 'withdrawMin': '46', 'sameAddress': False, 'contract': '0x979ffd8eed7a43629ea29581df4bfe2b3f224e47', 'withdrawTips': None, 'depositTips': None}]"
OMN,OMN,"[{'coin': 'OMN', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 30, 'name': 'OMN', 'network': 'Omega Network(OMN)', 'withdrawEnable': True, 'withdrawFee': '0.5', 'withdrawIntegerMultiple': None, 'withdrawMax': '5000000', 'withdrawMin': '1', 'sameAddress': False, 'contract': '', 'withdrawTips': None, 'depositTips': None}]"
